ChiTiet,CoCheTruyenLuc,CongThuc,GiaTri_N_hoac_Nm,DonVi,Hardcode_runparts,KhopKhong,GhiChuNguon
DR-006 (baseline),"1 cap forearm -> 2 lo rod chac khuyu","F = fMax/2",61.36,N,61.35,"KHOP","force_results.mat fMax; run_parts.ps1 dong17"
DR-006 (pose worst-case),"1 cap forearm -> 2 lo rod, tu the bien R400 z-1050","F = fw/2",91.22,N,91.20,"KHOP","pose_results.mat fw; run_parts_pose.ps1 dong10"
DR-005-2 (baseline),"uon bicep quy doi luc ngang dau khuyu, ngam dau vai","F = fMax*L1m / L_arm52",185.22,N,185.00,"KHOP","SUY DIEN phien nay tu run_parts.ps1 dong7 + THUYETMINH muc8 (L=270mm); can nguoi kiem tra xac nhan cong thuc goc"
DR-005-2 (pose worst-case),"uon bicep worst-case (bien R400 z-1050) quy doi luc ngang","F = fw*L1m / L_arm52",275.36,N,275.00,"KHOP","pose_results.mat fw; run_parts_pose.ps1 dong12"
DR-007 (baseline),"FeeMax tai tam -> chia deu 6 lo bat tool","F = FeeMax/6",29.30,N,29.30,"KHOP","force_results.mat FeeMax; run_parts.ps1 dong19"
6516K305 Rod (baseline),"1 thanh doc truc trong 1 cap forearm","F = fMax/2",61.36,N,N/A,"N/A (khong co trong run_parts.ps1)","force_results.mat fMax; Euler buckling CHUA XAC MINH DUOC NGUON (force_analysis.m dong219 chi la ghi chu, khong co cong thuc)"
DR-001-1 (tam de),"phan luc 3 cum canh tay (bracket) -> 6 lo bat bracket","F = 600 N (tai lieu) / 6 lo",100.00,N,100.00,"KHOP","CHUA XAC MINH DUOC NGUON cong thuc 600N -- chi co mo ta dinh tinh trong KETQUA_BEN.md dong47 / THUYETMINH dong147"
DR-001-1 (pose worst-case),"phan luc bracket, nhan ty le pose r_pose","F = (600/6) * r_pose",148.67,N,149.00,"KHOP","pose_results.mat fw/fMax; run_parts_pose.ps1 dong14; ke thua nguon 600N chua xac minh o muc 5"
DR-001-2 (khung han),"tai treo phan duoi mat han Y=0 (m_duoi*g*k_s)","F = m_duoi_that*g*k_s",1563.9,N,N/A,"N/A (khong co trong run_parts.ps1, chay rieng qua fea_run.ps1)","KETQUA_BEN.md muc8.2 dong190-202; khop voi 1563.9N da cong bo"
DR-001-3 (mat treo),"treo toan bo robot -> 9 lo M12 xuyen","F = 2097 N (tai lieu, ~140kg*9.81*1.5) / 9 lo",233.00,N,233.00,"KHOP","CHUA XAC MINH DUOC nguon chinh xac -- cong thuc xap xi ~140kg lech ~1.8% so voi 2097N cong bo, xem KETQUA_BEN.md dong34/48"
